Id;brand;name;price;n_of_reviews;n_of_loves;review_score;size;clean_product;category
0;OLEHENRIKSEN;Banana Bright Eye Crème;38;2000;126365;41532;0.5 oz;0;Eye Creams & Treatments
1;Drunk Elephant;C-Tango Vitamin C Eye Cream;64;469;59473;37527;0.5 oz;1;Eye Creams & Treatments
2;Shiseido;Benefiance WrinkleResist24 Intensive Eye Contour Cream;60;1000;62205;4261;0.51 oz ;0;Eye Creams & Treatments
3;La Mer;The Eye Concentrate;215;109;16056;3633;0.5 oz;0;Eye Creams & Treatments
4;Estee Lauder;Advanced Night Repair Eye Supercharged Complex;62;210;14169;41952;0.5 oz;0;Eye Creams & Treatments
5;Drunk Elephant;Shaba Complex™ Eye Serum;60;329;38957;37812;0.5 oz;1;Eye Creams & Treatments
6;Kiehl's Since 1851;Creamy Eye Treatment with Avocado;30;768;37684;42461;0.5 oz;0;Eye Creams & Treatments
7;belif;Moisturizing Eye Bomb;48;1000;48667;45476;None;0;Eye Creams & Treatments
8;Fresh;Black Tea Firming and De-Puffing Eye Cream;68;420;34145;39929;0.5 oz;0;Eye Creams & Treatments
9;Shiseido;Benefiance WrinkleResist24 Pure Retinol Express Smoothing Eye Mask;68;380;41478;44342;None;0;Eye Masks
10;Origins;GinZing™ Refreshing Eye Cream to Brighten and Depuff;32;3000;99998;40354;0.5 oz;0;Eye Creams & Treatments
11;Tatcha;The Pearl Tinted Eye Illuminating Treatment;48;713;49972;40421;0.4 oz;1;Eye Creams & Treatments
12;SEPHORA COLLECTION;Brightening Eye Cream – Hydrate & Depuff;16;88;16638;43182;0.67oz;1;Eye Creams & Treatments
13;Skinfix;Barrier+ Lipid-Boost 360° Eye;40;7;1575;5;0.5 oz;1;Eye Creams & Treatments
14;IT Cosmetics;Bye Bye Under Eye Brightening Eye Cream;48;489;43679;37689;0.5 oz;0;Eye Creams & Treatments
15;Dr. Dennis Gross Skincare;Ferulic + Retinol Triple Correction Eye Serum;69;335;28043;38209;0.5 oz;0;Eye Creams & Treatments
16;Peter Thomas Roth;Water Drench Hyaluronic Cloud Hydra-Gel Eye Patches;52;140;20762;43143;None;0;Eye Masks
17;Peter Thomas Roth;24K Gold Pure Luxury Lift & Firm Hydra-Gel Eye Patches;75;188;24618;40532;None;0;Eye Creams & Treatments
18;First Aid Beauty;FAB Skin Lab Retinol Eye Cream with Triple Hyaluronic Acid;42;10;3781;48;0.5 oz;0;Eye Creams & Treatments
19;Dr. Brandt Skincare;needles no more® NO MORE BAGGAGE™ eye de-puffing gel;42;1000;17351;37395;0.5 oz;0;Eye Creams & Treatments
20;SEPHORA COLLECTION;Eye Mask;5;693;34485;41804;None;0;Eye Masks
21;Peace Out;Puffy Under-Eye Patches;25;187;12643;45134;None;0;Eye Masks
22;LANEIGE;Eye Sleeping Mask;34;164;33105;39878;0.8 oz;0;Eye Masks
23;CLINIQUE;All About Eyes™ Rich;325;1000;48002;41588;0.5 oz;0;Eye Creams & Treatments
24;Tatcha;Luminous Deep Hydration Firming Eye Serum;85;86;19206;39302;0.5 oz;1;Eye Creams & Treatments
25;Biossance;Squalane + Peptide Eye Gel;54;322;31117;37484;0.5 oz;1;Eye Creams & Treatments
26;La Mer;The Eye Balm Intense;215;30;6251;39667;0.5 oz;0;Eye Creams & Treatments
27;Wander Beauty;Baggage Claim Gold Eye Masks;25;214;16793;39252;None;0;Eye Masks
28;MILK MAKEUP;Cooling Water;24;904;70167;37876;1.2 oz;0;Eye Creams & Treatments
29;Algenist;Complete Eye Renewal Balm;68;821;24272;39647;0.5 oz;0;Eye Creams & Treatments
30;SK-II;R.N.A. POWER Anti-Aging Eye Cream;135;136;8916;42279;0.4 oz;0;Eye Creams & Treatments
31;Caudalie;Resveratrol Lift Hyaluronic Acid Eye Lifting Balm;62;197;14695;40355;0.5 oz;1;Eye Creams & Treatments
32;Peter Thomas Roth;Cucumber De-Tox™ Hydra-Gel Eye Patches;48;246;28764;40813;None;0;Eye Masks
33;SUNDAY RILEY;Auto Correct Brightening and Depuffing Eye Contour Cream;65;302;16454;33477;0.5 oz;0;Eye Creams & Treatments
34;Perricone MD;Hypoallergenic Firming Eye Cream;72;427;8886;43888;0.5 oz;0;Eye Creams & Treatments
35;La Mer;The Lifting Eye Serum;255;5;4458;38;0.5 oz;0;Eye Creams & Treatments
36;Kiehl's Since 1851;Midnight Recovery Eye;37;179;29335;38045;0.5 oz;0;Eye Creams & Treatments
37;Fresh;Rose Hydrating Eye Gel Cream;41;466;32171;42468;0.5 oz;0;Eye Creams & Treatments
38;BIOEFFECT;EGF Eye Serum;90;11;2913;48182;0.2 oz;0;Eye Creams & Treatments
39;Saturday Skin;Wide Awake Brightening Eye Cream;46;387;28781;43178;1.01 oz;0;Eye Creams & Treatments
40;CLINIQUE;Pep-Start Eye Cream;265;866;43981;36894;0.5 oz;0;Eye Creams & Treatments
41;First Aid Beauty;Eye Duty Triple Remedy: Brighten, Depuff and Smooth;36;675;43522;39807;0.34 oz;0;Eye Creams & Treatments
42;AMOREPACIFIC;MOISTURE BOUND Rejuvenating Eye Treatment Gel;85;240;8599;42417;0.5 oz;0;Eye Creams & Treatments
43;CLINIQUE;All About Eyes;325;1000;23996;40818;0.5 oz;0;Eye Creams & Treatments
44;Lancome;Advanced Génifique Eye Cream;67;256;10353;40469;0.5 oz;0;Eye Creams & Treatments
45;Bobbi Brown;Extra Eye Repair Cream;77;129;9447;42171;0.5 oz;0;Eye Creams & Treatments
46;tarte;Maracuja C-Brighter™ Eye Treatment;38;815;41080;40147;0.35 oz;0;Eye Creams & Treatments
47;Farmacy;Dew It All Total Eye Cream with Echinacea GreenEnvy™;38;346;23190;40173;0.5 oz;1;Eye Creams & Treatments
48;Murad;Retinol Youth Renewal Eye Serum;85;29;7264;43103;0.5 oz;0;Eye Creams & Treatments
49;Fresh;Black Tea Firming Eye Serum;72;13;5991;44615;0.5 oz;0;Eye Creams & Treatments
50;LANEIGE;Water Bank Eye Gel;36;129;20038;41705;0.8 oz;0;Eye Creams & Treatments
51;Supergoop!;Advanced Anti-Aging Eye Cream Broad Spectrum Sunscreen SPF 37;32;85;8878;38235;0.5 oz;1;Eye Creams & Treatments
52;Caudalie;Vine[activ] Energizing Vitamin C Eye Cream;39;117;10626;37521;0.5 oz;1;Eye Creams & Treatments
53;KORA Organics;Noni Radiant Eye Oil;38;250;16682;4044;0.34 oz;1;Eye Creams & Treatments
54;Peter Thomas Roth;Mega Rich Intensive Anti-Aging Cellular Eye Creme;65;231;8979;42078;0.76 oz;0;Eye Creams & Treatments
55;Wander Beauty;Baggage Claim Rose Gold Eye Masks;25;32;9083;4375;None;0;Eye Masks
56;Perricone MD;Essential Fx Acyl-Glutathione Eyelid Lift Serum;122;132;1704;43182;0.5 oz;0;Eye Creams & Treatments
57;Murad;Renewing Eye Cream;82;191;8904;40942;0.5 oz;0;Eye Creams & Treatments
58;KORRES;Black Pine 3D Sculpting, Firming & Lifting Super Eye Serum;65;101;7737;41881;0.51 oz;1;Eye Creams & Treatments
59;CLINIQUE;Repairwear Anti-Gravity Eye Lift Cream;45;264;9020;41629;0.5 oz;0;Eye Creams & Treatments
60;Shiseido;Bio-Performance LiftDynamic Eye Treatment;75;20;4010;37;0.52 oz;0;Eye Creams & Treatments
61;Dr. Brandt Skincare;Do Not Age with Dr. Brandt Triple Peptide Eye Cream;82;117;7073;42393;0.5 oz;0;Eye Creams & Treatments
62;Origins;Eye Doctor™ Moisture Care For Skin Around Eyes;41;443;23761;40587;0.5 oz;1;Eye Creams & Treatments
63;Clarins;Super Restorative Total Eye Concentrate;85;194;8092;42113;0.5 oz;0;Eye Creams & Treatments
64;philosophy;anti-wrinkle miracle worker eye+ line-correcting eye cream;60;2;551;5;0.5 oz;0;Eye Creams & Treatments
65;Tata Harper;Restorative Eye Crème ;98;73;6674;39452;0.5 oz;1;Eye Creams & Treatments
66;OLEHENRIKSEN;Uplifting Transformation™ Eye Crème;42;133;7789;39474;0.5 oz;0;Eye Creams & Treatments
67;tarte;Pack Your Bags Undereye Patches;22;235;37777;4217;None;0;Eye Masks
68;Youth To The People;Superfood Peptide Eye Cream;35;132;15552;40076;0.5 oz;1;Eye Creams & Treatments
69;Perricone MD;Cold Plasma+ Eye;110;27;1599;4;0.5 oz;0;Eye Creams & Treatments
70;Lancôme;Rénergie Lift Multi-Action Eye;75;81;4828;37901;0.5 oz;0;Eye Creams & Treatments
71;Peter Thomas Roth;Potent-C™ Vitamin C Power Eye Cream;65;279;7415;43477;0.5 oz;0;Eye Creams & Treatments
72;CLINIQUE;All About Eyes Serum De-Puffing Eye Massage;325;865;16040;38081;0.5 oz;0;Eye Masks
73;Fresh;Crème Ancienne® Eye Cream;128;106;7859;42925;0.5 oz;0;Eye Creams & Treatments
74;Dermalogica;MultiVitamin Power Firm Eye Cream;65;16;1194;425;0.5 oz;0;Eye Creams & Treatments
75;Lancôme;Advanced Génifique Yeux Light-Pearl™ Eye Illuminator Youth Activating Concentrate ;69;117;9464;3641;0.67 oz;0;Eye Creams & Treatments
76;Dermalogica;Stress Positive Eye Lift Mask ;69;16;2008;4625;0.85 oz;0;Eye Creams & Treatments
77;MILK MAKEUP;Cooling Water Eye Patches;22;41;8353;38537;None;0;Eye Masks
78;Bobbi Brown;Hydrating Eye Cream;54;380;17924;41053;0.5 oz;0;Eye Creams & Treatments
79;Shiseido;White Lucent Anti-Dark Circles Eye Cream;63;345;10874;36116;0.5 oz;0;Eye Creams & Treatments
80;Mario Badescu;Hyaluronic Eye Cream;18;25;5928;384;0.5 oz;0;Eye Creams & Treatments
81;CLINIQUE;Repairwear Laser Focus Wrinkle Correcting Eye Cream;45;136;7865;38529;0.5 oz;0;Eye Creams & Treatments
82;Dr. Dennis Gross Skincare;Vitamin C+ Collagen Brighten & Firm Eye Cream;65;48;6425;34792;0.5 oz;0;Eye Creams & Treatments
83;First Aid Beauty;Eye Duty Triple Remedy A.M. Gel Cream;36;164;19611;40488;0.5 oz;0;Eye Creams & Treatments
84;SEPHORA COLLECTION;Eye Mask - Cucumber - Anti-Puffiness;5;9;0;34444;None;0;Eye Masks
85;Dr. Dennis Gross Skincare;Ferulic + Retinol Eye Cream;69;48;4601;33958;0.5 oz;0;Eye Creams & Treatments
86;AMOREPACIFIC;Intensive Vitalizing Eye Essence;95;74;5499;39595;0.5 oz;0;Eye Creams & Treatments
87;Lancer;Eye Contour Lifting Cream with Diamond Powder;95;174;5272;43736;0.5 oz;0;Eye Creams & Treatments
88;Kate Somerville;Retinol Firming Eye Cream;85;100;12629;359;0.5 oz;0;Eye Creams & Treatments
89;Kiehl's Since 1851;Eye Fuel;225;8;2391;4125;0.5 oz;0;Eye Creams & Treatments
90;Murad;Eye Lift Firming Treatment;70;112;7875;39554;1 oz;0;Eye Creams & Treatments
91;Algenist;POWER Advanced Wrinkle Fighter 360° Eye Serum;70;64;6392;40938;0.5 oz;0;Eye Creams & Treatments
92;Kopari;Starry Eye Balm;28;21;5160;40952;None;1;Eye Creams & Treatments
93;GLAMGLOW;EYEBOOST™ Reviving Eye Mask;8;3;2192;43333;None;0;Eye Masks
94;First Aid Beauty;Detox Eye Roller;26;549;13993;3408;0.28 oz;0;Eye Creams & Treatments
95;Fresh;Lotus Eye Gel;48;615;14027;38439;0.5 oz;0;Eye Creams & Treatments
96;Caudalie;Premier Cru Eye Cream;99;91;4524;34505;0.5 oz;1;Eye Creams & Treatments
97;Estee Lauder;Advanced Night Repair Eye Concentrate Matrix;69;19;3281;31053;0.5 oz;0;Eye Creams & Treatments
98;Shiseido;Future Solution LX Eye and Lip Contour Regenerating Cream;153;22;3128;38636;0.61 oz;0;Eye Creams & Treatments
99;First Aid Beauty;5 in 1 Eye Cream;32;274;18754;38796;0.5 oz;0;Eye Creams & Treatments
100;Shiseido;Sun Protection Eye Cream Broad Spectrum SPF 34 Sunscreen;34;57;6821;43684;0.6 oz;0;Eye Creams & Treatments
101;Origins;Plantscription™ Anti-Aging Eye Treatment;48;157;8304;40892;0.5 oz;1;Eye Creams & Treatments
102;Obagi Clinical;Kinetin+ Hydrating Eye Cream;65;107;2327;44112;0.5 oz;0;Eye Creams & Treatments
103;Guerlain;Orchidée Impériale Eye Serum;230;3;1024;5;0.5 oz;0;Eye Creams & Treatments
104;Peter Thomas Roth;Instant FIRMx Eye™;38;383;5774;35692;1 oz;0;Eye Masks
105;Origins;Plantscription™ Anti-Aging Power Eye Cream;49;108;9167;37963;0.5 oz;1;Eye Creams & Treatments
106;First Aid Beauty;Eye Duty Triple Remedy Overnight Balm;38;171;11058;3655;0.5 oz;0;Eye Masks
107;BeautyBio;Bright Eyes Collagen-Infused Brightening Colloidal Silver Eye Masks;40;25;2907;384;None;0;Eye Masks
108;Naturally Serious;Zero Baggage Anti-Dark Circle Eye Cream;44;23;2425;33913;0.67 oz;1;Eye Creams & Treatments
109;Dr Roebuck's;Down Under Collagen Boosting Eye Treatment;38;73;6557;37808;0.5 oz;1;Eye Creams & Treatments
110;Tatcha;Luminous Deep Hydration Revitalizing Eye Mask;12;51;14555;36667;None;1;Eye Masks
112;bareMinerals;SKINLONGEVITY™ Vital Power Eye Gel Cream;32;35;5375;38857;0.5 oz;0;Eye Creams & Treatments
113;Dr. Dennis Gross Skincare;Hyaluronic Marine Dew It Right Eye Gel;48;72;8609;38056;0.5 oz;0;Eye Creams & Treatments
114;Algenist;GENIUS Ultimate Anti-Aging Eye Cream;74;92;4495;36957;0.5 oz;0;Eye Creams & Treatments
